Mittari;Aika;val
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 24;27
Tapausten lukumäärä;Vuosi 2022 Viikko 25;10440
Testausmäärä;Vuosi 2022 Viikko 25;27564
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 25;55
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 25;23
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 25;21
Tapausten lukumäärä;Vuosi 2022 Viikko 26;12457
Testausmäärä;Vuosi 2022 Viikko 26;29905
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 26;70
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 26;27
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 26;34
Tapausten lukumäärä;Vuosi 2022 Viikko 27;12518
Testausmäärä;Vuosi 2022 Viikko 27;30980
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 27;76
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 27;44
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 27;31
Tapausten lukumäärä;Vuosi 2022 Viikko 28;15058
Testausmäärä;Vuosi 2022 Viikko 28;35798
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 28;85
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 28;43
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 28;27
Tapausten lukumäärä;Vuosi 2022 Viikko 29;17711
Testausmäärä;Vuosi 2022 Viikko 29;41217
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 29;106
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 29;40
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 29;32
Tapausten lukumäärä;Vuosi 2022 Viikko 30;16809
Testausmäärä;Vuosi 2022 Viikko 30;41578
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 30;104
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 30;49
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 30;25
Tapausten lukumäärä;Vuosi 2022 Viikko 31;15471
Testausmäärä;Vuosi 2022 Viikko 31;39434
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 31;108
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 31;41
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 31;36
Tapausten lukumäärä;Vuosi 2022 Viikko 32;12910
Testausmäärä;Vuosi 2022 Viikko 32;36183
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 32;133
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 32;50
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 32;25
Tapausten lukumäärä;Vuosi 2022 Viikko 33;10650
Testausmäärä;Vuosi 2022 Viikko 33;35361
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 33;86
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 33;63
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 33;29
Tapausten lukumäärä;Vuosi 2022 Viikko 34;7306
Testausmäärä;Vuosi 2022 Viikko 34;30556
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 34;72
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 34;49
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 34;28
Tapausten lukumäärä;Vuosi 2022 Viikko 35;5906
Testausmäärä;Vuosi 2022 Viikko 35;30729
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 35;58
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 35;47
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 35;26
Tapausten lukumäärä;Vuosi 2022 Viikko 36;6798
Testausmäärä;Vuosi 2022 Viikko 36;28365
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 36;81
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 36;41
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 36;42
Tapausten lukumäärä;Vuosi 2022 Viikko 37;8800
Testausmäärä;Vuosi 2022 Viikko 37;29583
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 37;107
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 37;42
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 37;38
Tapausten lukumäärä;Vuosi 2022 Viikko 38;8264
Testausmäärä;Vuosi 2022 Viikko 38;28550
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 38;102
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 38;44
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 38;34
Tapausten lukumäärä;Vuosi 2022 Viikko 39;10629
Testausmäärä;Vuosi 2022 Viikko 39;30661
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 39;154
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 39;65
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 39;48
Tapausten lukumäärä;Vuosi 2022 Viikko 40;12789
Testausmäärä;Vuosi 2022 Viikko 40;35446
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 40;181
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 40;65
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 40;36
Tapausten lukumäärä;Vuosi 2022 Viikko 41;12836
Testausmäärä;Vuosi 2022 Viikko 41;37524
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 41;214
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 41;93
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 41;67
Tapausten lukumäärä;Vuosi 2022 Viikko 42;12117
Testausmäärä;Vuosi 2022 Viikko 42;36315
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 42;193
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 42;90
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 42;65
Tapausten lukumäärä;Vuosi 2022 Viikko 43;11869
Testausmäärä;Vuosi 2022 Viikko 43;33464
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 43;177
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 43;92
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 43;69
Tapausten lukumäärä;Vuosi 2022 Viikko 44;11978
Testausmäärä;Vuosi 2022 Viikko 44;36069
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 44;200
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 44;91
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 44;57
Tapausten lukumäärä;Vuosi 2022 Viikko 45;12443
Testausmäärä;Vuosi 2022 Viikko 45;38034
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 45;191
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 45;71
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 45;58
Tapausten lukumäärä;Vuosi 2022 Viikko 46;11052
Testausmäärä;Vuosi 2022 Viikko 46;35120
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 46;140
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 46;61
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 46;49
Tapausten lukumäärä;Vuosi 2022 Viikko 47;10823
Testausmäärä;Vuosi 2022 Viikko 47;35652
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 47;109
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 47;37
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 47;32
Tapausten lukumäärä;Vuosi 2022 Viikko 48;10947
Testausmäärä;Vuosi 2022 Viikko 48;35786
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 48;73
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 48;25
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 48;25
Tapausten lukumäärä;Vuosi 2022 Viikko 49;10869
Testausmäärä;Vuosi 2022 Viikko 49;35228
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 49;47
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 49;10
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 49;7
Tapausten lukumäärä;Vuosi 2022 Viikko 50;9216
Testausmäärä;Vuosi 2022 Viikko 50;31980
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 50;9
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 50;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 50;1
Tapausten lukumäärä;Vuosi 2022 Viikko 51;3350
Testausmäärä;Vuosi 2022 Viikko 51;6617
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 51;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 51;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 51;0
Tapausten lukumäärä;Kaikki ajat;1438205
Testausmäärä;Kaikki ajat;11930917
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Kaikki ajat;7933
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Kaikki ajat;4551
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Kaikki ajat;2074
